"[商品コード]","[商品名]","[規格・入数／単位]","[取引先コード]","[取引先名]","[発注単位]","[09/01(予定)]","[09/01(発注済)]","[09/02(予定)]","[09/02(発注済)]","[09/03(予定)]","[09/03(発注済)]","[09/04(予定)]","[09/04(発注済)]","[09/05(予定)]","[09/05(発注済)]","[09/06(予定)]","[09/06(発注済)]","[09/07(予定)]","[09/07(発注済)]","[非表示商品]"
"000168","D）ｽﾘｰｼｴﾌ  トムヤムペースト 454G","454g／本・1／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","1","","","","","","","","","","",""
"007452","Ｄ）　ＱＰ　シーザーサラダドレッシング　１Ｌ","1L／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","","","","","3","","","","",""
"007940","Ｄ）　ＣＪジャパン　コチュジャン１ｋｇ","1kg／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","1","","","","1","","","","","","","","",""
"008036","Ｄ）　スキッピー　ピーナッツバターチャンク　３４０ｇ","340g／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","","","","","","","","","",""
"000253","C）明治 無塩パーチバター 450G","450g／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","2","","2","","","","","","","","","","",""
"001579","D）ポッカ パルプリッチレモン 1L","1L／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","3","","","","","","","","","","",""
"008262","直）ヤ）デリカ　大葉　１０枚／束","10枚／束","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","缶","","","","","","","","","","","","","","",""
"006854","Ｄ）マルサンアイ　純正こうじ味噌　７５０Ｇ","750g／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","4","","","","","","","","","","",""
"009045","Ｄ）サカイ　マイルドブラウンマスタード１ｋｇ","1kg／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","","","","","","","","","",""
"007275","Ｃ）　燦宝夢　ねりからし　３５０ｇ","350g／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","1","","","","","","","","","","",""
"008023","直）ヤ）デリカ　レッドキャベツ８ｍｍ千切り１ｋｇ","1kg／パック","4000000172","伊藤忠「フレーバーワークス」３６５日Ｄ２【Ｆ】","PC","","3","","3","","","","","","5","","5","","5",""
"008022","直）ヤ）デリカ　国産オニオンスライス８ｍｍ　１Ｋｇ","1kg／パック","4000000172","伊藤忠「フレーバーワークス」３６５日Ｄ２【Ｆ】","PC","","20","","8","","","","8","","8","","12","","20",""
"000046","D）カゴメ トマトピューレー  650G","650g／本・1／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","2","","","","","","","","","","",""
